Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
0,0,1,5,25,4,1,3,0,0,13,2,70000.0,11
2,2,1,5,17,3,0,4,3,2,22,17,107090.0,5
1,1,1,5,13,4,1,7,1,0,5,0,44978.0,5
1,1,1,5,22,4,1,2,2,1,13,11,110216.0,2
1,2,1,1,10,4,1,5,0,2,6,4,16964.0,2
3,2,1,9,20,4,1,3,3,2,25,15,53545.0,10
0,1,1,9,4,4,1,2,1,2,7,3,59481.0,4
1,1,1,5,7,4,1,3,1,0,14,12,61684.0,2
2,0,1,1,25,4,1,6,1,0,25,25,170000.0,0
1,2,1,9,9,7,1,2,1,1,15,10,51403.0,5
1,1,1,9,10,4,1,6,2,0,18,12,26318.0,6
3,2,1,9,25,4,1,4,1,2,22,20,150000.0,2
1,2,1,9,9,4,1,3,1,1,11,6,55687.0,5
1,0,1,9,13,4,1,2,0,0,14,6,32127.0,8
3,1,1,5,24,4,1,3,1,2,31,28,72000.0,3
2,2,1,9,24,4,1,3,1,2,26,14,80690.0,12
1,1,1,9,25,4,1,1,1,2,7,4,126000.0,3
2,1,1,5,13,4,1,7,2,0,19,11,96381.0,8
2,1,1,3,0,4,2,7,1,0,19,13,66104.0,6
2,2,1,7,25,4,1,6,2,0,17,14,125000.0,3
2,2,1,9,2,4,1,0,2,0,20,15,107090.0,5
2,1,1,9,17,4,1,7,1,0,30,25,34269.0,5
1,2,1,2,8,4,1,6,1,0,7,2,88884.0,5
2,1,1,9,20,4,1,5,2,0,18,11,29985.0,7
2,1,1,5,23,4,1,3,1,2,18,13,119321.0,5
1,2,1,5,9,4,1,5,0,0,11,4,74963.0,7
0,0,1,5,11,4,1,4,1,0,10,5,80184.0,5
3,1,1,9,25,4,1,3,4,0,29,25,120000.0,4
1,2,1,3,1,4,1,3,2,0,16,13,99593.0,3
1,1,1,9,9,0,1,2,0,1,10,0,41765.0,10
